text,isAddress,block_num,left_top,right_bot
Quantity Size,0,21,"(891, 864)","(1131, 909)"
GESU3519442 C4629121 Pickup after: 14:07 11-Nov-2022 Deliver after: 11-Nov-2022,0,21,"(378, 934)","(925, 1036)"
1 20,0,21,"(1014, 934)","(1097, 970)"
"References:  DO # DJPHXB229970,  CR # 231-41984032492, P/O # MITL-000007929",0,21,"(377, 1063)","(742, 1204)"
"NOTE: Delivering Carrier shall be solely responsible to pay and will reimburse Expeditors for (by way of offset or otherwise, which is expressly authorized herein) any and all accessorial charges which are incurred with respect to the movement and storage of the shipment(s) tendered hereunder which are not otherwise pre-approved in writing by Expeditors.  Shipper, Expeditors, Delivering Carrier, and any other subcontractor motor carriers expressly waive all rights and Declared Value for Carriage remedies they may have under 49 U.S.C. Subtitle IV, Part B (excluding §§ 13703, 13706, 14101 and 14103) to the full $  extent permitted by 49 U.S.C. § 14101(b)(1), each as amended from time to time. This delivery order is and for all purposes shall be deemed to be a written contract with respect to this waiver PROVIDED, however, that any term(s) contained within a bill of lading issued by Expeditors shall govern over any conflicting terms(s) contained herein. Unless 4 Shipper has made a special declaration of value and has paid the additional charge(s) in connection therewith, the liability of Expeditors for loss, damage, delay, or any other cause whatsoever shall be limited to U.S. $0.50 per pound, maximum $50 per lot. Unless a separate certificate has been issued and the applicable premium paid, goods are NOT INSURED. Additional restrictions are provided in the Terms and Conditions of Service of Expeditors which are incorporated herein by reference. These terms and conditions are also available at www.expeditors.com/forms- downloads. All services provided are subject to these terms and conditions.  (Shipper's Signature) ",0,27,"(73, 1470)","(1640, 1854)"
,0,0,"(336, 1865)","(364, 1891)"
DATE RECEIVED:,0,28,"(839, 1864)","(1037, 1898)"
Received in Good Order,0,0,"(93, 1888)","(249, 1956)"
(Signature),0,0,"(524, 1896)","(640, 1926)"
BY:,0,0,"(283, 1906)","(366, 1949)"
TIME RECEIVED:,0,0,"(839, 1932)","(1041, 1966)"
(PRINT NAME),0,0,"(511, 1954)","(655, 1982)"
THIS CARRIAGE IS SUBJECT TO THE TERMS AND CONDITIONS OF THE DELIVERING CARRIER NAMED ABOVE.,0,0,"(931, 2012)","(1643, 2074)"
7110327974,0,0,"(411, 2162)","(571, 2196)"
text,isAddress,block_num,left_top,right_bot
Expeditors Intl of WA Inc 3930 East Watkins  Suite #100  Phoenix AZ 85034 602-437-8877,0,0,"(573, 47)","(1019, 209)"
DELIVERY ORDER This is NOT a Bill of Lading,0,0,"(1278, 52)","(1661, 133)"
Vee’ Expeditors  ABN 79 003 337 282 CUSTOMS BROKERS ¢ IATA AGENTS ¢ FREIGHT FORWARDERS FMC-2268 * NVOCC  REFERENCE 7110328171 ,0,0,"(32, 58)","(542, 266)"
ENTRY NO.,0,0,"(683, 236)","(809, 266)"
DATE.,0,0,"(1323, 236)","(1395, 266)"
22-Nov-2022,0,0,"(1417, 228)","(1621, 264)"
"DELIVER TO: Pivot Solar Breeze 1407 w. 10TH PLACE, SUITE A106/107",0,0,"(74, 284)","(686, 384)"
WEST BASIN CONTAINER TERMINAL 1830 J. S. GIBSON BL VD,0,0,"(921, 289)","(1433, 354)"
Pick Up From,0,1,"(789, 334)","(891, 398)"
SAN PEDRO CA 90731 CAPE SOUNIO / 05-Dec-2022,0,0,"(923, 379)","(1365, 448)"
Tempe AZ 85281,0,0,"(88, 408)","(345, 450)"
BILL TO:  Expeditors Intl of WA Inc 3930 East watkins  Suite #100  Phoenix AZ 85034  United States  DELIVERING CARRIER . NGL Transportation LLC,0,0,"(77, 460)","(535, 717)"
MBL,0,0,"(811, 466)","(877, 496)"
MEDUPH182172,0,4,"(905, 459)","(1128, 502)"
HBL,0,0,"(813, 516)","(875, 548)"
613597149,0,6,"(907, 514)","(1077, 548)"
O/H No.,0,7,"(789, 588)","(891, 622)"
ra Party CHARGES (See Bill To:) VOLUME/WEIGHT  1006.469CF / 5232.7LB,0,22,"(1233, 658)","(1633, 802)"
Prepaid,0,10,"(814, 677)","(907, 711)"
Collect,0,11,"(1023, 678)","(1109, 708)"
PIECES 347,0,20,"(127, 732)","(251, 802)"
DESCRIPTION ASSY SYS M926 POOL SKIMM,0,21,"(379, 732)","(819, 802)"
CTN,0,21,"(263, 770)","(331, 802)"
TOTAL # OF CO'S: 1 Container(s) Seal Number(s),0,21,"(378, 834)","(856, 906)"
Quantity Size,0,21,"(891, 864)","(1131, 909)"
TLLU3379980 FI16262679 Pickup after: 10:08 25-Nov-2022 Deliver after: 10:08 25-Nov-2022,0,21,"(378, 934)","(941, 1036)"
1 20,0,21,"(1014, 934)","(1097, 970)"
"References: DO # DJPHXB313054, CR # 231-96162346710",0,21,"(377, 1063)","(737, 1170)"
"NOTE: Delivering Carrier shall be solely responsible to pay and will reimburse Expeditors for (by way of offset or otherwise, which is expressly authorized herein) any and all accessorial charges which are incurred with respect to the movement and storage of the shipment(s) tendered hereunder which are not otherwise pre-approved in writing by Expeditors.  Shipper, Expeditors, Delivering Carrier, and any other subcontractor motor carriers expressly waive all rights and Declared Value for Carriage remedies they may have under 49 U.S.C. Subtitle IV, Part B (excluding §§ 13703, 13706, 14101 and 14103) to the full $  extent permitted by 49 U.S.C. § 14101(b)(1), each as amended from time to time. This delivery order is and for all purposes shall be deemed to be a written contract with respect to this waiver PROVIDED, however, that any term(s) contained within a bill of lading issued by Expeditors shall govern over any conflicting terms(s) contained herein. Unless 4 Shipper has made a special declaration of value and has paid the additional charge(s) in connection therewith, the liability of Expeditors for loss, damage, delay, or any other cause whatsoever shall be limited to U.S. $0.50 per pound, maximum $50 per lot. Unless a separate certificate has been issued and the applicable premium paid, goods are NOT INSURED. Additional restrictions are provided in the Terms and Conditions of Service of Expeditors which are incorporated herein by reference. These terms and conditions are also available at www.expeditors.com/forms- downloads. All services provided are subject to these terms and conditions.  (Shipper's Signature) ",0,27,"(73, 1470)","(1640, 1854)"
,0,0,"(336, 1865)","(364, 1891)"
DATE RECEIVED:,0,28,"(839, 1864)","(1037, 1898)"
Received in Good Order,0,0,"(93, 1888)","(249, 1956)"
(Signature),0,0,"(524, 1896)","(640, 1926)"
BY:,0,0,"(283, 1906)","(366, 1949)"
TIME RECEIVED:,0,0,"(839, 1932)","(1041, 1966)"
(PRINT NAME),0,0,"(511, 1954)","(655, 1982)"
THIS CARRIAGE IS SUBJECT TO THE TERMS AND CONDITIONS OF THE DELIVERING CARRIER NAMED ABOVE.,0,0,"(931, 2012)","(1643, 2074)"
7110328171,0,0,"(411, 2162)","(571, 2196)"
text,isAddress,block_num,left_top,right_bot
Expeditors Intl of WA Inc 3930 East Watkins  Suite #100  Phoenix AZ 85034 602-437-8877,0,0,"(573, 47)","(1019, 209)"
DELIVERY ORDER This is NOT a Bill of Lading,0,0,"(1278, 52)","(1661, 133)"
Vee’ Expeditors  ABN 79 003 337 282 CUSTOMS BROKERS ¢ IATA AGENTS ¢ FREIGHT FORWARDERS FMC-2268 * NVOCC  REFERENCE 7110328300 ,0,0,"(32, 58)","(542, 266)"
ENTRY NO.,0,0,"(683, 236)","(809, 266)"
DATE.,0,0,"(1323, 236)","(1395, 266)"
07-Nov-2022,0,0,"(1417, 228)","(1621, 264)"
DELIVER TO: VIDEO MOUNT PRODUCTS 4022 w Turney Avenue STE A-1,0,0,"(76, 284)","(585, 387)"
EVERPORT TERMINAL SERVICES TI BERTH 228/236,0,0,"(923, 290)","(1433, 354)"
Pick Up From,0,1,"(789, 334)","(891, 398)"
TERMINAL ISLAND CA 90731 EVER FEAT / 13-Nov-2022,0,0,"(923, 382)","(1346, 448)"
Phoenix AZ 85019-3329,0,0,"(91, 408)","(465, 444)"
BILL TO:  Expeditors Intl of WA Inc 3930 East watkins  Suite #100  Phoenix AZ 85034  United States  DELIVERING CARRIER . NGL Transportation LLC,0,0,"(77, 460)","(535, 717)"
MBL,0,0,"(811, 466)","(877, 496)"
EGLV149206985053,0,4,"(907, 462)","(1197, 498)"
HBL,0,0,"(813, 516)","(875, 548)"
61N0779380,0,6,"(907, 511)","(1093, 547)"
O/H No.,0,7,"(789, 588)","(891, 622)"
ra Party CHARGES (See Bill To:) VOLUME/WEIGHT  963.738CF / 15725.6LB,0,22,"(1233, 658)","(1633, 802)"
Prepaid,0,10,"(814, 677)","(907, 711)"
Collect,0,11,"(1023, 678)","(1109, 708)"
PIECES 501,0,20,"(127, 732)","(251, 802)"
DESCRIPTION ELECTRONIC GOODS AND PAR,0,21,"(379, 732)","(819, 804)"
CTN,0,21,"(263, 770)","(331, 802)"
TOTAL # OF CO'S: 1 Container(s) Seal Number(s),0,21,"(377, 835)","(856, 907)"
Quantity Size,0,21,"(891, 864)","(1131, 909)"
EISU2164467 EMCPCHO502 Pickup after: 14:45 13-Nov-2022 Deliver after: 14:45 13-Nov-2022,0,21,"(378, 934)","(940, 1036)"
1 20,0,21,"(1014, 934)","(1097, 970)"
"References: DO # DJPHXB239512, CR # 231-58664502167",0,21,"(377, 1063)","(738, 1171)"
"NOTE: Delivering Carrier shall be solely responsible to pay and will reimburse Expeditors for (by way of offset or otherwise, which is expressly authorized herein) any and all accessorial charges which are incurred with respect to the movement and storage of the shipment(s) tendered hereunder which are not otherwise pre-approved in writing by Expeditors.  Shipper, Expeditors, Delivering Carrier, and any other subcontractor motor carriers expressly waive all rights and Declared Value for Carriage remedies they may have under 49 U.S.C. Subtitle IV, Part B (excluding §§ 13703, 13706, 14101 and 14103) to the full $  extent permitted by 49 U.S.C. § 14101(b)(1), each as amended from time to time. This delivery order is and for all purposes shall be deemed to be a written contract with respect to this waiver PROVIDED, however, that any term(s) contained within a bill of lading issued by Expeditors shall govern over any conflicting terms(s) contained herein. Unless 4 Shipper has made a special declaration of value and has paid the additional charge(s) in connection therewith, the liability of Expeditors for loss, damage, delay, or any other cause whatsoever shall be limited to U.S. $0.50 per pound, maximum $50 per lot. Unless a separate certificate has been issued and the applicable premium paid, goods are NOT INSURED. Additional restrictions are provided in the Terms and Conditions of Service of Expeditors which are incorporated herein by reference. These terms and conditions are also available at www.expeditors.com/forms- downloads. All services provided are subject to these terms and conditions.  (Shipper's Signature) ",0,27,"(73, 1470)","(1640, 1854)"
,0,0,"(336, 1865)","(364, 1891)"
DATE RECEIVED:,0,28,"(839, 1864)","(1037, 1898)"
Received in Good Order,0,0,"(93, 1888)","(249, 1956)"
(Signature),0,0,"(524, 1896)","(640, 1926)"
BY:,0,0,"(283, 1906)","(366, 1949)"
TIME RECEIVED:,0,0,"(839, 1932)","(1041, 1966)"
(PRINT NAME),0,0,"(511, 1954)","(655, 1982)"
THIS CARRIAGE IS SUBJECT TO THE TERMS AND CONDITIONS OF THE DELIVERING CARRIER NAMED ABOVE.,0,0,"(931, 2012)","(1643, 2074)"
7110328300,0,0,"(411, 2162)","(571, 2196)"
text,isAddress,block_num,left_top,right_bot
Expeditors Intl of WA Inc 3930 East Watkins  Suite #100  Phoenix AZ 85034 602-437-8877,0,0,"(573, 47)","(1019, 209)"
DELIVERY ORDER This is NOT a Bill of Lading,0,0,"(1278, 52)","(1661, 133)"
Vee’ Expeditors  ABN 79 003 337 282 CUSTOMS BROKERS ¢ IATA AGENTS ¢ FREIGHT FORWARDERS FMC-2268 * NVOCC  REFERENCE 7110328822 ,0,0,"(32, 58)","(542, 266)"
ENTRY NO.,0,0,"(683, 236)","(809, 266)"
DATE.,0,0,"(1323, 236)","(1395, 266)"
07-Nov-2022,0,0,"(1417, 228)","(1621, 264)"
DELIVER TO: Arden Companies 13364 Aerospace Dr Suite 100 Victorville CA 92394,1,0,"(74, 284)","(449, 444)"
SHIPPERS TRANSPORT EXPRESS (C 2149 E SEPULVEDA BLV D,0,0,"(923, 288)","(1435, 354)"
Pick Up From,0,1,"(789, 334)","(891, 398)"
CARSON CA 90810-1940 MAUNAWILI / 13-Nov-2022,0,0,"(921, 380)","(1330, 448)"
BILL TO:  Expeditors Intl of WA Inc 3930 East watkins  Suite #100  Phoenix AZ 85034  United States  DELIVERING CARRIER . NGL Transportation LLC,0,0,"(75, 460)","(535, 717)"
MBL,0,0,"(811, 466)","(877, 496)"
MATS8559585000,0,4,"(907, 462)","(1163, 498)"
HBL,0,0,"(813, 516)","(875, 548)"
6395755821,0,6,"(907, 513)","(1093, 549)"
O/H No.,0,7,"(789, 588)","(891, 622)"
ra Party CHARGES (See Bill To:) VOLUME/WEIGHT  2045.781cF / 29539.7LB,0,22,"(1233, 658)","(1633, 804)"
Prepaid,0,10,"(814, 677)","(907, 711)"
Collect,0,11,"(1023, 678)","(1109, 708)"
PIECES 40,0,20,"(127, 732)","(253, 802)"
DESCRIPTION NOS,0,21,"(637, 732)","(819, 802)"
CTN,0,21,"(263, 770)","(331, 802)"
"SEAT CUSHIONS,",0,21,"(378, 765)","(620, 805)"
TOTAL # OF CO'S: 1 Container(s) Seal Number(s),0,21,"(378, 834)","(856, 906)"
Quantity Size,0,21,"(891, 864)","(1131, 909)"
MATU2323733 1224919 Pickup after: 10:42 13-Nov-2022 Deliver after: 10:42 13-Nov-2022,0,21,"(378, 934)","(941, 1036)"
1 40,0,21,"(1014, 934)","(1097, 968)"
"Over 29,000 lbs. Attach the Container Certificate or Bill of Lading",0,21,"(378, 1065)","(1045, 1141)"
"References:  DO # DJPHXB238140,  CR # 231-66215548858, P/O # 3000020800",0,21,"(377, 1163)","(752, 1304)"
"NOTE: Delivering Carrier shall be solely responsible to pay and will reimburse Expeditors for (by way of offset or otherwise, which is expressly authorized herein) any and all accessorial charges which are incurred with respect to the movement and storage of the shipment(s) tendered hereunder which are not otherwise pre-approved in writing by Expeditors.  Shipper, Expeditors, Delivering Carrier, and any other subcontractor motor carriers expressly waive all rights and Declared Value for Carriage remedies they may have under 49 U.S.C. Subtitle IV, Part B (excluding §§ 13703, 13706, 14101 and 14103) to the full $  extent permitted by 49 U.S.C. § 14101(b)(1), each as amended from time to time. This delivery order is and for all purposes shall be deemed to be a written contract with respect to this waiver PROVIDED, however, that any term(s) contained within a bill of lading issued by Expeditors shall govern over any conflicting terms(s) contained herein. Unless 4 Shipper has made a special declaration of value and has paid the additional charge(s) in connection therewith, the liability of Expeditors for loss, damage, delay, or any other cause whatsoever shall be limited to U.S. $0.50 per pound, maximum $50 per lot. Unless a separate certificate has been issued and the applicable premium paid, goods are NOT INSURED. Additional restrictions are provided in the Terms and Conditions of Service of Expeditors which are incorporated herein by reference. These terms and conditions are also available at www.expeditors.com/forms- downloads. All services provided are subject to these terms and conditions.  (Shipper's Signature) ",0,27,"(73, 1470)","(1640, 1854)"
,0,0,"(336, 1865)","(364, 1891)"
DATE RECEIVED:,0,28,"(839, 1864)","(1037, 1898)"
Received in Good Order,0,0,"(93, 1888)","(249, 1956)"
(Signature),0,0,"(524, 1896)","(640, 1926)"
BY:,0,0,"(283, 1906)","(366, 1949)"
TIME RECEIVED:,0,0,"(839, 1932)","(1041, 1966)"
(PRINT NAME),0,0,"(511, 1954)","(655, 1982)"
THIS CARRIAGE IS SUBJECT TO THE TERMS AND CONDITIONS OF THE DELIVERING CARRIER NAMED ABOVE.,0,0,"(931, 2012)","(1643, 2074)"
7110328822,0,0,"(411, 2162)","(571, 2196)"
text,isAddress,block_num,left_top,right_bot
BILL OF LADING PROOFREAD NON-NEGOTIABLE,0,0,"(979, 40)","(1403, 159)"
"<&) EVERGREEN LINE  A Joint Service Agreement  yan aN’ WW / ey  GLOBAL (MACAO) LIMITED ALAME! DA DR.CARLOS D'ASSUMPCAO NO.411-417, PRACA WONG CHIO J&K 19,MACAU",0,1,"(37, 84)","(879, 310)"
(5) Document No.  149207091226  (6) Export References,0,0,"(924, 185)","(1159, 272)"
"(3) Consignee(complete name and address)  MEGA FURNITURE  3941 W. MOHAVE ST #110,PHOENIX, AZ - 85009  UNITED STATES  TEL: 602-688-8900 FAX 6o2- 272-1641 VP@MEGAFURNITUREUSA .C  (4) Notify Party (complete name and SA CO  yaar ee HITACHI TRANSPORT SYSTEM USA IN  8290 N. W 27 STREET SUITE 603 MIAMI 33122  TEL: 365-639-4205  FAX: 305-639-4206 * ",1,0,"(33, 374)","(897, 730)"
) Forwarding Agent-References,0,0,"(950, 372)","(1241, 406)"
(8) Point and Country of Origin (for the Merchant's reference only),0,0,"(929, 553)","(1539, 585)"
"TO) Also Notify Party (complete name and address) IL TRANSPORTAQTION LLC. 500 W.140TH ST. GARDENA,CA 90248 PHONE: 310-595-6752 EMAIL: DISPATCH@NGLTRANS .COM DSP.LA@NGLTRANS .NET",1,0,"(921, 612)","(1453, 790)"
(12) Pre-carriage by,0,0,"(33, 786)","(227, 816)"
"ANE  5 2.0f, NO GINA ",0,2,"(509, 786)","(783, 838)"
"‘SEA WAYBILL REQUESTED, BUT NOT RELEASED YET.”",0,3,"(941, 802)","(1608, 836)"
(14) oaR” YEBRR” §130- 064E,0,0,"(38, 848)","(431, 902)"
"WA Pi TK SN"" CHINA",0,4,"(509, 848)","(783, 902)"
|(10) Onward Inland Routing/Export Instructions (which are contracted separately by Merchants entirely for their own account and risk),0,0,"(924, 853)","(1612, 895)"
"“B68 ANERLES ,",0,0,"(29, 913)","(269, 966)"
CA,0,0,"(285, 930)","(339, 964)"
"HOS ANGHEES ,",0,5,"(507, 914)","(733, 966)"
CA,0,5,"(749, 930)","(803, 964)"
Particulars furnished by the Merchant  (20) Description of Goods,0,0,"(641, 986)","(1055, 1046)"
(18) Container No. And Seal No. >) Marks & Nos. 2D  CONTAINER NO./SEALNG.,0,0,"(38, 1011)","(357, 1076)"
G9y Quantity And  Kind of Packages,0,6,"(396, 1009)","(561, 1053)"
"(21) Measurement (M?) Gross Weight (KGS)  8,277.600 KGS",0,0,"(1351, 1010)","(1607, 1105)"
EISU8325337/EMCNTC8632/  TXGU5567443/EMCNTF8322/ N/M,0,8,"(47, 1118)","(483, 1206)"
98) PKGS 4148.800 KGS £39900 CBM  91| PKGS 4128.800 KGS FURNITURE SOFA PI NO. 3027-22. 30027 ah PO NO. :90027-22 9 THIS SHIPMENT 00g? CONTAIN ANY SOLID WOOD Tron | MATERIALS  * Sen oun T ITACHI-VHT . COM ZHA( ouseal COM,0,9,"(527, 1117)","(1215, 1364)"
FREIGHT PREPAID 189 PACKAGES,0,9,"(631, 1393)","(1033, 1538)"
"(22) TOTAL NUMBER OF 2'|xX 40H OAM CONTAINERS OR PACKAGES i (IN WORDS) _  (24) FREIGHT, a SHARGES Revenue Tons Per |Prepaid Collect  1.00 8 (20 PRA APE ES Pease AI TCAR ARIE A, SEY — ~ OOOCOWSS oO OOU OOOO” http://121.33.200.100 2080/Pub/cred OO OO000 RASH AAAR’ http: //wtis.mot.gov.cn ©O es 2.00 DOIK SRS CAAT ERIN): OOOOOOOHDOOODOOOd wREAA, Pree: HRT eR OO WKS: 8189822808320010 11 MKS: 818982280810001\1 MKS: 828982280821001  (2) B/L NO. @ Number of Original B(s)/L (29) Prepaid at (30) Collect at 149207091226 ease, of EW @ Igsue/Date (31) Exchange Rate (32) Exchange Rate ZHE: NA (26) Servjce Type/Mode (33) Laden on Board OOOO0O0000 0 21515842~5850 FC L/FcL 0/0 * NOT FINAL ** ooo /0000000 0 21515862~5867  HO/OO/HE O00 /OOO000 00 21515852~5859",0,17,"(33, 1576)","(1553, 2148)"
14,0,0,"(1308, 2171)","(1348, 2195)"
WWW. EVERGREEN-SHIPPING.CN kk,0,0,"(1060, 2243)","(1414, 2287)"
text,isAddress,block_num,left_top,right_bot
cD DELIVERY ORDER This is NOT a Bill of Lading,0,0,"(1260, 14)","(1629, 123)"
Expeditors’  “You'd be surprised how far we'll go for you.  ABN 79 003 337 282 CUSTOMS BROKERS « IATA AGENTS « FREIGHT FORWARDERS FMC-2268 * NVOCC.  REFERENCE 7530229279 ,0,0,"(41, 20)","(568, 254)"
"350 N. John Glenn Rd, Ste 200 Salt Lake City, UT 84116, US",1,0,"(596, 43)","(1170, 124)"
(801) 303-6400,0,0,"(597, 140)","(882, 184)"
SLC,0,0,"(1459, 144)","(1533, 180)"
ENTRY NO..,0,0,"(659, 224)","(789, 252)"
231-8499088-9,0,0,"(826, 207)","(1092, 247)"
DATE.,0,0,"(1285, 220)","(1357, 250)"
11/07/22,0,0,"(1402, 207)","(1570, 247)"
"DELIVER TO: Nature's Sunshine Products, 1655 north main st Receiving doc Spanish Fork, UT 84660",0,0,"(77, 286)","(614, 451)"
Inc.,0,0,"(635, 310)","(721, 344)"
Pick Up From,0,0,"(815, 322)","(918, 390)"
Y790 YUSEN TERMINAL INC (LA) BERTH 701 NEW DOCK ST  SAN PEDRO CA 907317535  ONE HUMBER / 11/02/22,1,0,"(940, 303)","(1609, 447)"
MBL,0,2,"(833, 474)","(897, 502)"
HDMUT YOM85 5 89700,0,0,"(940, 469)","(1266, 509)"
BILL TO:,0,4,"(75, 512)","(169, 540)"
HBL,0,5,"(835, 538)","(895, 566)"
3P1097467,0,6,"(942, 535)","(1128, 575)"
O/H No.,0,0,"(806, 607)","(918, 649)"
DELIVERING CARRIER . . NGL Transportation LLC Prepaid [ | Collect  PIECES DESCRIPTION  653 |PCS TOTAL # OF CO's: 1 Container(s) Seal Number(s) Quantity Size ,0,21,"(71, 679)","(1208, 877)"
3rd Par (See Bi’To;),0,12,"(1247, 685)","(1392, 737)"
CHARGES,0,13,"(1404, 681)","(1516, 709)"
VOLUME/WEIGHT  31202 .0#,0,22,"(1322, 751)","(1630, 839)"
TGBU6352431 1 40 **PjerRass requirements were not managed by Expeditors**,0,21,"(134, 897)","(1228, 980)"
"NOTE: Delivering Carrier shall be solely responsible to pay and will reimburse Expeditors for (by way of offset or otherwise, which is expressly authorized herein) any and all accessorial charges which are incurred with respect to the movement and storage of the shipment(s) tendered hereunder which are not otherwise pre-approved in writing by Expeditors.  Shipper, Expeditors, Delivering Carrier, and any other subcontractor motor carriers expressly waive all rights and remedies they may have under 49 U.S.C. Subtitle IV, Part B (excluding §§ 13703, 13706, 14101 and 14103) to the full extent permitted by 49 U.S.C. § 14101{b)(1), each as amended from time to time. This delivery order is and for all purposes shall be deemed to be a written contract with respect to this waiver PROVIDED, however, that any term(s) contained within a billof | $  lading issued by Expeditors shall govern over any conflicting terms{s) contained herein. Unless Shipper has made a special declaration of value and has paid the  additional charge(s) in connection therewith, the liability of Expeditors for loss, damage, delay, or any other cause whatsoever shall be limited to U.S. $0.50 per  pound, maximum $50 per lot. Unless a separate certificate has been issued and the applicable premium paid, goods are NOT INSURED. Additional restrictions are xX  provided in the Terms and Conditions of Service of Expeditors which are incorporated herein by reference. These terms and conditions are also available at (Shipper's Signature)  Declared Value for Carriage  www. expeditors com/forms-downloads, All services provided are subject to these terms and conditions. ",0,27,"(51, 1586)","(1656, 1871)"
DATE RECEIVED:,0,28,"(861, 1882)","(1109, 1918)"
Received in .Good Order,0,0,"(53, 1896)","(217, 1964)"
(Signature),0,0,"(535, 1902)","(661, 1934)"
,0,0,"(259, 1912)","(319, 1948)"
TIME RECEIVED:,0,0,"(861, 1942)","(1103, 1976)"
PRINT NAME,0,0,"(515, 1960)","(681, 1988)"
This carriage is subject to the terms and conditions of the delivering carrier named above.,0,0,"(862, 1991)","(1644, 2067)"
7530229279,0,0,"(347, 2166)","(515, 2202)"
text,isAddress,block_num,left_top,right_bot
Bill To Information  Please send invoices and backup information to:  Email: billing@agxfreight.com,0,0,"(615, 76)","(1001, 202)"
Sent By: Peter Masterson,0,0,"(1131, 74)","(1447, 114)"
Email Phone Fax Office,0,0,"(1131, 132)","(1225, 262)"
peter.masterson@agxfreight.com (904) 222-0400,0,0,"(1247, 129)","(1642, 201)"
Gye AGX,0,4,"(58, 79)","(570, 265)"
IM - Central Capacity,0,0,"(1251, 231)","(1499, 265)"
"Rate/Route Confirmation for NGL TRANSPORTATION LLC $2,450.00 Shipment Details  611827 BOL # Carrier Miles Temperature Eq Type 40' Container 11/7/2022 18:33 Eq ID CMAU 4146404  Cabinets PIECES @ 35000.00 Pounds",0,0,"(371, 288)","(1434, 530)"
Shipment #,0,0,"(45, 366)","(207, 398)"
394,0,0,"(1531, 366)","(1589, 394)"
Cust Ref/PO # Todays Date Description of Merch:,0,0,"(44, 432)","(331, 533)"
Carrier Details Driver Name Dispatch Phone Fax Carrier Ref,0,0,"(749, 540)","(1057, 704)"
Carrier MC DOT # SCAC,0,0,"(45, 574)","(149, 704)"
NGL TRANSPORTATION LLC 583458  1575579  NGLN,0,0,"(225, 574)","(545, 704)"
(623) 930-0932,0,0,"(1240, 605)","(1431, 640)"
"Stop Details Address FENIX MARINE TERMINAL Y257 614 TERMINAL WAY TERMINAL ISLAND, CA, 90731 PN: (888) 888-8888",1,0,"(587, 716)","(943, 890)"
Stop Type,0,0,"(43, 748)","(205, 782)"
Pcs/Type/Wt/Ref #,0,0,"(267, 750)","(513, 782)"
Appt Date,0,0,"(1045, 750)","(1187, 782)"
Appt Time,0,0,"(1221, 748)","(1363, 782)"
PU/Delv #,0,0,"(1395, 748)","(1535, 778)"
Pickup,0,0,"(128, 831)","(217, 864)"
11/8/22,0,0,"(1045, 832)","(1145, 862)"
CMAU4 146404,0,0,"(1395, 846)","(1575, 876)"
"CENTEX 500 S. 52ND ST. TEMPE, AZ, 85281 PN: (480) 825-8225",1,0,"(587, 918)","(827, 1028)"
Delivery,0,0,"(127, 955)","(235, 990)"
11/9/22,0,0,"(1049, 956)","(1145, 986)"
"Carrier Rate Agreement Unit Price Unit Type $2,250.00 Flat Rate $150.00 Flat Rate $50.00 per Day",0,0,"(637, 1042)","(1005, 1209)"
Item #,0,0,"(69, 1074)","(168, 1104)"
Charge Description Line Haul Prepull Chassis,0,0,"(189, 1070)","(524, 1204)"
Unit Quantity,0,0,"(1070, 1069)","(1256, 1109)"
"Rate $2,250.00 $150.00 $50.00 $2,450.00",0,0,"(1385, 1074)","(1535, 1238)"
Note,0,0,"(1555, 1074)","(1629, 1104)"
,0,0,"(48, 1143)","(72, 1169)"
1.00 Total:,0,0,"(1213, 1174)","(1303, 1236)"
"NGL TRANSPORTATION LLC 6602 W GRANT ST, PHOENIX, AZ (If this is not your information, notify dispatch immediately)",1,0,"(45, 1281)","(1139, 1342)"
